sku,product_state,state_source,evidence_first_month_units,evidence_last_month_units,evidence_max_monthly_increase
DKMICRONA160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMICRONA200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMICROVI160,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
DKMICROWH,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKNIEVY11GR080,active,HEURISTIC_PROXY,0.0,11.0,11.0
DKNIEVY11GR160,active,HEURISTIC_PROXY,0.0,4.0,5.0
DKNIEVY1GO080,active,HEURISTIC_PROXY,0.0,9.0,10.0
DKNIEVY1GO160,active,HEURISTIC_PROXY,0.0,6.0,6.0
DKNIEVY32BL080,active,HEURISTIC_PROXY,0.0,10.0,10.0
DKNIEVY32BL160,active,HEURISTIC_PROXY,0.0,7.0,7.0
DKNIEVY44DKBE080,active,HEURISTIC_PROXY,0.0,7.0,11.0
DKNIEVY44DKBE160,active,HEURISTIC_PROXY,0.0,5.0,5.0
DKNIEVY8DKBE080,active,HEURISTIC_PROXY,0.0,8.0,10.0
DKNIEVY8DKBE160,active,HEURISTIC_PROXY,0.0,7.0,7.0
DKOMAHA160240,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
DKRABBIT080,active,HEURISTIC_PROXY,5.0,3.0,3.0
DKRABBIT160,phase_out,HEURISTIC_PROXY,2.0,1.0,1.0
DKRALEIGH080,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKSLEEPY080,phase_out,HEURISTIC_PROXY,6.0,3.0,0.0
DKSTARS080,phase_out,HEURISTIC_PROXY,3.0,0.0,2.0
DKTEKA080T,phase_out,HEURISTIC_PROXY,1.0,0.0,1.0
DKTEKA160,phase_out,HEURISTIC_PROXY,5.0,0.0,0.0
DKTEKA200,phase_out,HEURISTIC_PROXY,1.0,0.0,1.0
DKVENORA080,phase_out,HEURISTIC_PROXY,5.0,0.0,0.0
DUBRUNOBE080,active,HEURISTIC_PROXY,0.0,10.0,10.0
DUBRUNOBE160,active,HEURISTIC_PROXY,0.0,5.0,7.0
DULOLACR080,active,HEURISTIC_PROXY,0.0,5.0,10.0
DULOLACR160,active,HEURISTIC_PROXY,0.0,8.0,7.0
DUMIABE080,active,HEURISTIC_PROXY,0.0,6.0,9.0
DUMIABE160,active,HEURISTIC_PROXY,0.0,6.0,7.0
DUMIABE200,active,HEURISTIC_PROXY,0.0,3.0,3.0
DUTIMONBR080,active,HEURISTIC_PROXY,0.0,9.0,10.0
DUTIMONBR160,active,HEURISTIC_PROXY,0.0,5.0,6.0
DUTRISHBE080,active,HEURISTIC_PROXY,0.0,11.0,12.0
DUTRISHBE160,active,HEURISTIC_PROXY,0.0,5.0,7.0
DYN54374120180,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
ESC85101140200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
EUARANCE040,active,HEURISTIC_PROXY,0.0,19.0,5.0
EUAUTUMNSHOES040,active,HEURISTIC_PROXY,0.0,10.0,10.0
EUCANEIMPRO040,active,HEURISTIC_PROXY,0.0,8.0,18.0
EUCANETULIPANI040,active,HEURISTIC_PROXY,0.0,16.0,10.0
EUCANIMYHOME040,active,HEURISTIC_PROXY,0.0,5.0,9.0
EUCARTOLINA040,active,HEURISTIC_PROXY,0.0,24.0,19.0
EUCASABIO,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
EUCASETTACUORE040,active,HEURISTIC_PROXY,0.0,14.0,18.0
EUCASETTAHOME040,active,HEURISTIC_PROXY,0.0,4.0,8.0
EUCHIAVEWEL040,active,HEURISTIC_PROXY,0.0,12.0,6.0
EUFRIENDSFOREVER040,active,HEURISTIC_PROXY,0.0,10.0,8.0
EUGATTIMYHOME040,active,HEURISTIC_PROXY,0.0,8.0,10.0
EUGATTOCERCHI040,active,HEURISTIC_PROXY,0.0,9.0,9.0
EUGATTOFARF040,active,HEURISTIC_PROXY,0.0,7.0,8.0
EUGATTOFIOCCO040,active,HEURISTIC_PROXY,0.0,8.0,6.0
EUGATTOGRAFFIO040,active,HEURISTIC_PROXY,0.0,4.0,7.0
EUGATTOZAMP040,active,HEURISTIC_PROXY,0.0,7.0,16.0
EUGOODBYE040,active,HEURISTIC_PROXY,0.0,22.0,20.0
EUGREENWEL040,active,HEURISTIC_PROXY,0.0,11.0,9.0
EUHAIPORTATOBIRRA,phase_out,HEURISTIC_PROXY,6.0,0.0,0.0
EUINNAFFIATOIO040,active,HEURISTIC_PROXY,0.0,20.0,6.0
EUKEEPCALM040,active,HEURISTIC_PROXY,0.0,18.0,9.0
EULAVANDA040,active,HEURISTIC_PROXY,0.0,10.0,5.0
EULIMONI040,active,HEURISTIC_PROXY,0.0,17.0,20.0
EULOVEHELLO040,active,HEURISTIC_PROXY,0.0,10.0,6.0
EULOVEHOME040,active,HEURISTIC_PROXY,0.0,17.0,10.0
EUMAGICCANI039,active,HEURISTIC_PROXY,0.0,13.0,11.0
EUMAGICCASE039,active,HEURISTIC_PROXY,0.0,12.0,13.0
EUMAGICFIORI039,active,HEURISTIC_PROXY,0.0,9.0,12.0
EUMAGICGATTI039,active,HEURISTIC_PROXY,0.0,10.0,12.0
EUMOSAICO040,active,HEURISTIC_PROXY,0.0,14.0,8.0
EUOLDAMERICA040,active,HEURISTIC_PROXY,0.0,14.0,19.0
EUOLIVE040,active,HEURISTIC_PROXY,0.0,20.0,20.0
EUPEANUTSHOME040,active,HEURISTIC_PROXY,0.0,8.0,7.0
EUPETITCHAT040,active,HEURISTIC_PROXY,0.0,12.0,6.0
EUPUPPYCAT040,active,HEURISTIC_PROXY,0.0,16.0,8.0
EUREGOLEDELLACASA040,active,HEURISTIC_PROXY,0.0,15.0,7.0
EUSCACCHIERA040,active,HEURISTIC_PROXY,0.0,7.0,18.0
EUSCARPETTE040,active,HEURISTIC_PROXY,0.0,11.0,19.0
EUSTAYWITHUS040,active,HEURISTIC_PROXY,0.0,15.0,20.0
EUSTIVALI040,active,HEURISTIC_PROXY,0.0,17.0,5.0
EUSUMMERSHOES040,active,HEURISTIC_PROXY,0.0,17.0,5.0
EUSWEETDAISY040,active,HEURISTIC_PROXY,0.0,14.0,20.0
EUTRISDICUORI040,active,HEURISTIC_PROXY,0.0,12.0,20.0
EUTULIP,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
EUTYPEWRITER040,active,HEURISTIC_PROXY,0.0,10.0,10.0
EUWELBICICLETTA040,active,HEURISTIC_PROXY,0.0,23.0,19.0
EUWELHOME040,active,HEURISTIC_PROXY,0.0,8.0,5.0
